time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140812T103610	96.35	100	100	96.48	200	200
20140812T103619	96.36	100	100	96.48	200	200
20140812T103631	96.32	200	200	96.48	200	200
20140812T103637	96.32	100	100	96.48	200	200
20140812T103641	96.32	200	200	96.48	200	200
20140812T103653	96.32	100	100	96.48	200	200
20140812T103725	96.34	200	200	96.48	200	200
20140812T103746	96.32	100	100	96.48	200	200
20140812T103751	96.52	100	100	96.83	200	200
20140812T103801	96.32	100	100	96.83	200	200
20140812T103856	96.32	200	200	96.83	200	200
20140812T103947	96.32	300	300	96.83	200	200
20140812T104120	96.33	200	200	96.83	200	200
20140812T104240	96.33	300	300	96.83	200	200
20140812T104341	96.33	100	100	96.83	200	200
20140812T104539	96.33	300	300	96.83	200	200
20140812T104558	96.34	100	100	96.83	200	200
20140812T104731	96.34	200	200	96.83	200	200
20140812T104737	96.34	300	300	96.83	200	200
20140812T104850	96.35	100	100	96.83	200	200
20140812T104927	96.34	200	200	96.83	200	200
20140812T105020	96.35	100	100	96.83	200	200
20140812T105030	96.35	200	200	96.83	200	200
20140812T105040	96.35	100	100	96.83	200	200
20140812T105247	96.35	200	200	96.83	200	200
20140812T105351	96.35	500	500	96.83	200	200
20140812T105524	96.36	200	200	96.83	200	200
20140812T105545	96.37	200	200	96.83	200	200
20140812T105558	96.37	500	500	96.83	200	200
20140812T105750	96.37	300	300	96.83	200	200
20140812T105756	96.37	300	300	96.83	1200	1200
20140812T105826	96.37	300	300	96.81	200	200
20140812T105833	96.43	200	200	96.81	200	200
20140812T105842	96.37	300	300	96.81	200	200
20140812T105936	96.37	300	300	96.79	200	200
20140812T110007	96.37	300	300	96.78	200	200
20140812T110037	96.36	100	100	96.78	200	200
20140812T110046	96.35	300	300	96.78	200	200
20140812T110108	96.35	300	300	96.76	200	200
20140812T110121	96.35	300	300	96.69	200	200
20140812T110133	96.35	300	300	96.6	200	200
20140812T110204	96.31	100	100	96.6	200	200
20140812T110404	96.48	100	100	96.6	200	200
20140812T110443	96.48	100	100	96.54	500	500
20140812T110528	96.48	100	100	96.6	200	200
20140812T110655	96.49	100	100	96.6	200	200
20140812T110657	96.48	100	100	96.6	200	200
20140812T111159	96.4	100	100	96.6	200	200
20140812T111409	96.4	100	100	96.6	300	300
20140812T111419	96.4	100	100	96.59	100	100
20140812T111457	96.4	100	100	96.6	200	200
20140812T111530	96.5	100	100	96.6	200	200
20140812T111546	96.33	100	100	96.6	100	100
20140812T111618	96.3	100	100	96.6	100	100
20140812T111748	96.28	200	200	96.6	100	100
20140812T111759	96.28	200	200	96.6	900	900
20140812T112603	96.45	100	100	96.6	900	900
20140812T112949	96.45	100	100	96.59	100	100
20140812T113028	96.45	100	100	96.6	900	900
20140812T113041	96.45	100	100	96.59	100	100
20140812T113219	96.45	100	100	96.58	100	100
20140812T113233	96.45	100	100	96.57	100	100
20140812T113354	96.45	100	100	96.56	100	100
20140812T113447	96.45	100	100	96.57	100	100
20140812T113510	96.45	100	100	96.56	500	500
20140812T113610	96.45	100	100	96.57	100	100
20140812T113727	96.3	200	200	96.57	100	100
20140812T113729	96.31	100	100	96.57	100	100
20140812T113730	96.35	100	100	96.57	100	100
20140812T113804	96.35	100	100	96.56	500	500
20140812T113854	96.35	100	100	96.5	1000	1000
20140812T113903	96.35	100	100	96.48	500	500
20140812T113905	96.35	100	100	96.5	1000	1000
20140812T113907	96.36	100	100	96.55	1000	1000
20140812T113917	96.35	100	100	96.55	1000	1000
20140812T113933	96.36	500	500	96.55	1000	1000
20140812T113951	96.36	500	500	96.55	900	900
20140812T114221	96.45	100	100	96.55	900	900
20140812T114730	96.46	100	100	96.55	900	900
20140812T114826	96.45	100	100	96.55	900	900
20140812T114846	96.46	500	500	96.55	900	900
20140812T114956	96.46	500	500	96.55	400	400
20140812T115029	96.46	500	500	96.57	100	100
20140812T115032	96.46	500	500	96.6	900	900
20140812T115036	96.46	500	500	96.59	100	100
20140812T115044	96.46	500	500	96.6	900	900
20140812T115152	96.46	500	500	96.5	9900	9900
20140812T115219	96.32	100	100	96.45	9300	9300
20140812T115321	96.32	100	100	96.6	900	900
20140812T115353	96.32	100	100	96.46	100	100
20140812T115404	96.32	100	100	96.6	900	900
20140812T115407	96.32	100	100	96.45	100	100
20140812T115410	96.32	100	100	96.6	900	900
20140812T115414	96.32	100	100	96.47	100	100
20140812T115416	96.32	100	100	96.47	200	200
20140812T115420	96.32	100	100	96.45	100	100
20140812T115421	96.32	100	100	96.47	200	200
20140812T115425	96.32	100	100	96.47	100	100
20140812T115428	96.32	100	100	96.57	100	100
20140812T115438	96.32	100	100	96.47	2000	2000
20140812T115442	96.32	100	100	96.46	2000	2000
20140812T115448	96.32	200	200	96.46	2000	2000
20140812T115539	96.39	200	200	96.46	2000	2000
20140812T115605	96.32	100	100	96.46	2000	2000
20140812T115628	96.32	100	100	96.45	2000	2000
20140812T115649	96.4	200	200	96.45	2000	2000
20140812T115650	96.41	200	200	96.45	2000	2000
20140812T115656	96.32	200	200	96.45	2000	2000
20140812T115659	96.32	100	100	96.45	2000	2000
20140812T115712	96.32	100	100	96.45	1000	1000
20140812T115841	96.35	100	100	96.45	1000	1000
20140812T115943	96.32	100	100	96.35	800	800
20140812T115945	96.35	100	100	96.45	1000	1000
20140812T115948	96.32	100	100	96.45	1000	1000
20140812T120006	96.12	200	200	96.3	2500	2500
20140812T120009	96.27	200	200	96.3	2500	2500
20140812T120024	96.27	200	200	96.6	900	900
20140812T120046	96.27	200	200	96.4	3000	3000
20140812T120411	96.3	500	500	96.4	3000	3000
20140812T120625	96.31	800	800	96.4	3000	3000
20140812T120632	96.31	800	800	96.4	2900	2900
20140812T120634	96.31	800	800	96.4	2800	2800
20140812T120830	96.32	500	500	96.4	2800	2800
20140812T120906	96.34	800	800	96.4	2800	2800
20140812T121025	96.35	800	800	96.4	2800	2800
20140812T121105	96.35	800	800	96.39	400	400
20140812T121334	96.35	800	800	96.39	100	100
20140812T121339	96.35	800	800	96.4	2800	2800
20140812T121348	96.37	500	500	96.4	2800	2800
20140812T121512	96.39	700	700	96.4	2800	2800
20140812T121533	96.39	700	700	96.4	1900	1900
20140812T121539	96.39	700	700	96.4	900	900
20140812T121540	96.4	500	500	96.47	100	100
20140812T121542	96.39	700	700	96.47	100	100
20140812T121634	96.46	400	400	96.47	100	100
20140812T122208	96.39	700	700	96.47	100	100
20140812T122453	96.39	800	800	96.47	100	100
