time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140812T013500	567.06	100	100	567.45	100	100
20140812T013510	567.	100	100	570.	4600	4600
20140812T013514	567.29	300	300	570.	4600	4600
20140812T013518	567.29	300	300	569.9	300	300
20140812T100001	559.2	100	100	576.52	100	100
20140812T100103	559.2	100	100	576.46	100	100
20140812T103332	559.2	100	100	576.52	100	100
20140812T103339	559.2	100	100	576.46	100	100
20140812T103355	559.2	100	100	576.52	100	100
20140812T103402	559.2	100	100	576.46	100	100
20140812T103436	559.2	100	100	576.52	100	100
20140812T103831	559.33	100	100	578.44	100	100
20140812T103833	559.33	100	100	576.65	100	100
20140812T103933	559.33	100	100	571.95	100	100
20140812T105402	559.33	100	100	571.9	100	100
20140812T110656	559.33	100	100	571.8	100	100
20140812T112239	560.47	100	100	571.8	100	100
20140812T112244	559.33	100	100	571.8	100	100
20140812T112248	560.47	100	100	571.8	100	100
20140812T112259	559.24	100	100	571.8	100	100
20140812T112316	560.46	100	100	571.8	100	100
20140812T112320	559.24	100	100	571.8	100	100
20140812T112321	560.42	100	100	571.8	100	100
20140812T112431	559.29	100	100	571.8	100	100
20140812T115733	565.85	100	100	571.8	100	100
20140812T115746	566.15	100	100	571.8	100	100
20140812T115809	566.2	100	100	571.8	100	100
20140812T120011	566.25	100	100	571.8	100	100
20140812T120212	566.3	100	100	571.8	100	100
20140812T120416	566.35	100	100	571.8	100	100
20140812T120620	566.4	100	100	571.8	100	100
20140812T120822	566.45	100	100	571.8	100	100
20140812T121025	566.5	100	100	571.8	100	100
20140812T121227	566.55	100	100	571.8	100	100
20140812T121428	566.6	100	100	571.8	100	100
20140812T121629	566.65	100	100	571.8	100	100
20140812T121831	566.7	100	100	571.8	100	100
20140812T122034	566.75	100	100	571.8	100	100
20140812T122236	566.8	100	100	571.8	100	100
20140812T122439	566.85	100	100	571.8	100	100
20140812T122531	566.15	100	100	571.8	100	100
20140812T122554	566.2	100	100	571.8	100	100
20140812T122732	566.25	100	100	571.8	100	100
20140812T122908	566.3	100	100	571.8	100	100
20140812T123022	560.44	100	100	571.8	100	100
20140812T123024	559.24	100	100	571.8	100	100
20140812T123633	559.28	100	100	571.8	100	100
20140812T123634	557.35	100	100	571.8	100	100
20140812T124731	560.	100	100	571.8	100	100
20140812T124751	563.	100	100	571.8	100	100
20140812T130108	563.	100	100	571.9	100	100
20140812T131038	563.	100	100	570.7	100	100
20140812T131120	566.15	100	100	570.7	100	100
20140812T131136	566.2	100	100	570.7	100	100
20140812T131300	566.25	100	100	570.7	100	100
20140812T131427	566.3	100	100	570.7	100	100
20140812T131552	566.35	100	100	570.7	100	100
20140812T131618	563.	100	100	570.7	100	100
20140812T131951	566.15	100	100	570.7	100	100
20140812T131953	563.	100	100	570.7	100	100
20140812T132844	566.15	100	100	570.7	100	100
20140812T132900	566.2	100	100	570.7	100	100
20140812T133104	566.25	100	100	570.7	100	100
20140812T133308	566.3	100	100	570.7	100	100
20140812T133512	566.35	100	100	570.7	100	100
20140812T133531	563.	100	100	570.7	100	100
20140812T133922	563.	100	100	569.95	100	100
20140812T135126	565.18	100	100	569.95	100	100
20140812T135336	565.18	100	100	569.85	100	100
20140812T135420	565.18	100	100	569.75	100	100
20140812T135429	565.18	100	100	569.75	200	200
20140812T135455	565.18	100	100	569.5	200	200
20140812T135644	565.18	100	100	569.75	200	200
20140812T135828	565.18	100	100	569.75	300	300
20140812T135904	565.18	100	100	569.5	100	100
20140812T135930	565.18	100	100	569.43	100	100
20140812T135932	565.18	100	100	569.38	100	100
20140812T135938	567.	100	100	569.38	100	100
20140812T135940	567.03	100	100	569.38	100	100
20140812T135947	567.03	100	100	569.37	100	100
20140812T140016	567.	100	100	569.37	100	100
20140812T140018	567.	100	100	569.37	400	400
20140812T140112	567.	100	100	569.27	100	100
20140812T140205	567.	100	100	568.98	100	100
20140812T140337	567.05	100	100	568.98	100	100
20140812T140350	567.05	100	100	568.96	100	100
20140812T140601	567.	100	100	568.96	100	100
20140812T141744	567.	100	100	568.9	200	200
20140812T141758	567.2	200	200	568.9	200	200
20140812T141823	567.2	400	400	568.9	200	200
20140812T141840	567.3	400	400	568.9	200	200
20140812T142227	567.3	400	400	568.88	100	100
20140812T142557	568.	500	500	568.88	100	100
20140812T142623	568.	1000	1000	568.88	100	100
20140812T142928	568.	1000	1000	568.88	400	400
20140812T144250	568.	1000	1000	568.88	500	500
20140812T144928	568.	1000	1000	568.78	100	100
20140812T144931	568.	1000	1000	568.88	500	500
20140812T145853	568.	900	900	568.88	500	500
20140812T150251	568.	300	300	568.88	500	500
20140812T150256	567.4	100	100	568.	600	600
20140812T150259	567.4	100	100	567.99	200	200
