time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140813T151508	565.45	100	100	566.25	100	100
20140813T151513	565.45	100	100	566.3	100	100
20140813T151852	565.6	100	100	566.3	100	100
20140813T152000	565.4	100	100	565.9	100	100
20140813T152004	565.95	100	100	566.25	100	100
20140813T152005	565.65	100	100	566.25	100	100
20140813T152042	565.4	100	100	565.85	100	100
20140813T152047	565.6	100	100	566.25	100	100
20140813T152054	565.6	100	100	566.3	100	100
20140813T152247	565.6	100	100	566.25	100	100
20140813T152333	565.3	100	100	566.25	100	100
20140813T152334	565.29	500	500	566.25	100	100
20140813T152343	565.35	100	100	566.	100	100
20140813T152415	565.35	100	100	566.2	100	100
20140813T152426	565.5	100	100	566.3	100	100
20140813T152446	565.5	100	100	566.35	200	200
20140813T152449	565.9	100	100	566.35	200	200
20140813T152504	565.65	100	100	566.35	200	200
20140813T152507	565.65	100	100	566.49	900	900
20140813T152520	565.65	100	100	566.49	400	400
20140813T152659	565.5	100	100	566.49	400	400
20140813T152801	565.5	100	100	566.85	100	100
20140813T152855	565.5	100	100	567.3	100	100
20140813T152905	566.	100	100	567.3	100	100
20140813T152919	566.	100	100	567.7	100	100
20140813T152921	566.8	100	100	567.7	100	100
20140813T152923	566.8	100	100	568.4	100	100
20140813T152941	567.1	100	100	568.4	100	100
20140813T152946	567.2	100	100	568.4	100	100
20140813T152952	567.3	100	100	567.64	300	300
20140813T152953	567.1	100	100	568.54	100	100
20140813T152959	567.3	100	100	568.54	100	100
20140813T153000	566.8	100	100	566.95	100	100
20140813T153001	566.1	200	200	566.74	100	100
20140813T153001	566.76	100	100	567.12	600	600
20140813T153002	566.11	100	100	566.78	400	400
20140813T153003	566.23	100	100	566.77	200	200
20140813T153004	566.23	200	200	566.77	200	200
20140813T153006	566.23	600	600	566.77	300	300
20140813T153007	566.24	100	100	567.09	100	100
20140813T153011	566.28	100	100	567.09	100	100
20140813T153012	566.5	100	100	567.09	100	100
20140813T153013	566.48	100	100	567.11	100	100
20140813T153016	566.49	100	100	567.31	200	200
20140813T153017	566.61	100	100	567.31	100	100
