time	bid	bid_depth	bid_depth_total	offer	offer_depth	offer_depth_total
20140813T011237	95.95	200	200	95.98	200	200
20140813T011308	95.93	400	400	95.98	200	200
20140813T011340	95.97	1000	1000	95.98	200	200
20140813T011359	95.97	100	100	95.98	200	200
20140813T011406	95.93	400	400	95.98	200	200
20140813T011715	95.97	1000	1000	95.98	200	200
20140813T011802	95.97	1000	1000	95.98	100	100
20140813T011816	95.97	1000	1000	95.99	1300	1300
20140813T013314	95.97	1000	1000	95.99	1400	1400
20140813T014007	95.97	1000	1000	95.99	200	200
20140813T014500	95.97	1000	1000	95.99	500	500
20140813T014544	95.98	200	200	95.99	500	500
20140813T014751	95.98	100	100	95.99	500	500
20140813T014836	95.99	400	400	96.	3500	3500
20140813T015122	95.99	300	300	96.	3500	3500
20140813T015129	95.99	300	300	96.	3400	3400
20140813T015141	95.99	200	200	96.	3400	3400
20140813T015628	95.99	100	100	96.	3400	3400
20140813T015642	95.98	300	300	95.99	4800	4800
20140813T015645	95.98	200	200	95.99	4800	4800
20140813T015651	95.97	1000	1000	95.99	4800	4800
20140813T015754	95.97	1000	1000	95.99	4700	4700
20140813T015834	95.97	1000	1000	95.99	4600	4600
20140813T015840	95.98	100	100	95.99	4600	4600
20140813T015852	95.98	100	100	95.99	4500	4500
20140813T015917	95.97	200	200	95.99	4500	4500
20140813T015920	95.93	400	400	95.95	2500	2500
20140813T015923	95.93	400	400	95.95	2100	2100
20140813T015941	95.93	400	400	95.95	2000	2000
20140813T100001	96.3	100	100	96.33	100	100
20140813T100002	96.04	200	200	96.48	200	200
20140813T100325	96.04	200	200	96.47	400	400
20140813T100444	96.04	200	200	96.46	200	200
20140813T100535	96.08	200	200	96.46	200	200
20140813T100746	96.11	200	200	96.46	200	200
20140813T100818	96.11	200	200	96.28	500	500
20140813T100837	96.14	200	200	96.28	500	500
20140813T100933	96.15	200	200	96.28	500	500
20140813T101014	96.15	200	200	96.25	500	500
20140813T101438	96.18	200	200	96.25	500	500
20140813T101851	96.18	200	200	96.25	100	100
20140813T101852	96.18	200	200	96.25	500	500
20140813T101907	96.19	200	200	96.25	500	500
20140813T101941	96.19	200	200	96.25	300	300
20140813T102244	96.2	200	200	96.25	300	300
20140813T102411	96.21	100	100	96.25	300	300
20140813T102548	96.21	100	100	96.25	100	100
20140813T102702	96.22	100	100	96.25	100	100
20140813T102719	96.22	100	100	96.25	500	500
20140813T102914	96.2	100	100	96.22	500	500
20140813T103041	96.2	100	100	96.22	1000	1000
20140813T103206	96.2	300	300	96.22	1000	1000
20140813T103214	96.2	100	100	96.22	1000	1000
20140813T103326	96.04	200	200	96.22	1000	1000
20140813T103328	96.06	200	200	96.22	1000	1000
20140813T103407	96.06	200	200	96.21	500	500
20140813T103440	96.06	100	100	96.21	500	500
20140813T103526	96.06	200	200	96.16	500	500
20140813T103756	96.06	200	200	96.13	500	500
20140813T103811	96.06	200	200	96.13	200	200
20140813T103823	96.06	200	200	96.16	500	500
20140813T103913	96.05	300	300	96.16	500	500
20140813T104011	96.05	300	300	96.12	500	500
20140813T104026	96.05	100	100	96.12	500	500
20140813T104043	96.12	100	100	96.16	500	500
20140813T104138	96.1	100	100	96.16	500	500
20140813T104142	96.03	100	100	96.16	300	300
20140813T104148	96.03	100	100	96.11	500	500
20140813T104156	95.99	100	100	96.11	500	500
20140813T104217	96.	100	100	96.11	500	500
20140813T104305	96.	500	500	96.11	500	500
20140813T104336	96.	400	400	96.11	500	500
20140813T104404	96.	400	400	96.09	500	500
20140813T104406	96.	500	500	96.09	500	500
20140813T104454	96.	500	500	96.09	400	400
20140813T104458	96.	500	500	96.09	200	200
20140813T104503	96.	500	500	96.08	200	200
20140813T104531	96.	100	100	96.08	200	200
20140813T104539	96.	100	100	96.01	400	400
20140813T104559	96.	100	100	96.06	200	200
20140813T104602	96.	100	100	96.08	200	200
20140813T104614	96.	100	100	96.08	100	100
20140813T104617	96.	100	100	96.08	200	200
20140813T104641	96.02	100	100	96.08	200	200
20140813T104920	96.02	100	100	96.08	100	100
20140813T104939	96.	100	100	96.02	500	500
20140813T105015	96.	100	100	96.06	100	100
20140813T105020	96.02	400	400	96.08	100	100
20140813T105349	96.02	400	400	96.09	200	200
20140813T105423	96.05	100	100	96.09	200	200
20140813T105425	96.05	600	600	96.09	200	200
20140813T105431	96.05	600	600	96.09	500	500
20140813T105509	96.05	500	500	96.09	500	500
20140813T105614	96.05	500	500	96.09	400	400
20140813T105633	96.05	500	500	96.09	500	500
20140813T105636	96.05	400	400	96.09	500	500
20140813T105638	96.05	400	400	96.09	1000	1000
20140813T105711	96.02	400	400	96.09	500	500
20140813T105725	96.02	900	900	96.09	500	500
20140813T105740	96.02	900	900	96.11	500	500
20140813T105748	96.03	500	500	96.11	500	500
20140813T105904	96.02	900	900	96.11	500	500
20140813T105954	96.02	900	900	96.11	1000	1000
20140813T110539	96.06	100	100	96.11	1000	1000
20140813T111105	96.06	200	200	96.11	1000	1000
20140813T111112	96.1	100	100	96.11	1000	1000
20140813T111134	96.06	200	200	96.11	400	400
20140813T111142	96.06	200	200	96.11	500	500
20140813T111207	96.06	300	300	96.11	500	500
20140813T111228	96.07	700	700	96.11	500	500
20140813T111245	96.08	500	500	96.11	500	500
20140813T111334	96.08	500	500	96.11	400	400
20140813T111339	96.11	100	100	96.14	300	300
20140813T111355	96.11	300	300	96.14	300	300
20140813T111411	96.11	200	200	96.14	300	300
20140813T111516	96.11	200	200	96.13	500	500
20140813T111553	96.08	500	500	96.11	500	500
20140813T111801	96.08	500	500	96.09	500	500
20140813T111804	96.07	500	500	96.09	500	500
20140813T111929	96.05	200	200	96.06	300	300
20140813T112108	96.02	400	400	96.05	500	500
20140813T112137	96.01	500	500	96.05	500	500
20140813T112220	96.	100	100	96.05	500	500
20140813T112322	96.	100	100	96.01	500	500
20140813T112333	95.93	200	200	96.	500	500
20140813T112347	95.93	100	100	96.	500	500
20140813T112350	95.95	100	100	96.	500	500
20140813T112354	95.96	500	500	96.	500	500
20140813T112408	96.	100	100	96.05	500	500
20140813T112429	95.93	200	200	96.05	500	500
20140813T112430	95.93	100	100	96.05	500	500
20140813T112440	95.94	500	500	96.05	500	500
20140813T112442	95.95	500	500	96.05	500	500
20140813T112535	95.95	500	500	95.99	500	500
20140813T112654	95.93	200	200	95.99	500	500
20140813T112736	95.99	100	100	96.05	500	500
20140813T112804	95.99	100	100	96.09	500	500
20140813T112808	95.99	100	100	96.11	500	500
20140813T112845	95.99	100	100	96.09	100	100
20140813T112847	95.99	100	100	96.11	500	500
20140813T112852	95.99	100	100	96.09	600	600
20140813T112903	96.	100	100	96.09	600	600
20140813T112909	95.99	100	100	96.09	600	600
20140813T112912	95.99	100	100	96.09	500	500
20140813T113003	96.04	300	300	96.09	500	500
20140813T113127	96.04	300	300	96.11	500	500
20140813T113233	96.04	300	300	96.1	500	500
20140813T113506	96.04	300	300	96.09	500	500
20140813T113511	96.	200	200	96.09	500	500
20140813T113512	96.	200	200	96.1	500	500
20140813T113625	96.	100	100	96.1	500	500
20140813T113742	96.	100	100	96.1	600	600
20140813T113749	96.	100	100	96.1	500	500
20140813T113840	96.	100	100	96.1	600	600
20140813T113933	96.	600	600	96.1	600	600
20140813T113939	96.01	600	600	96.1	600	600
20140813T113946	96.02	100	100	96.1	500	500
20140813T114005	96.02	600	600	96.1	500	500
20140813T114017	96.02	600	600	96.11	500	500
20140813T114118	96.02	700	700	96.11	500	500
20140813T114130	96.02	600	600	96.11	500	500
20140813T114142	96.	100	100	96.11	500	500
20140813T114144	96.	200	200	96.11	500	500
20140813T114146	96.	700	700	96.11	500	500
20140813T114148	96.	600	600	96.11	500	500
20140813T114153	96.	700	700	96.11	500	500
20140813T114156	96.	600	600	96.11	500	500
20140813T114200	96.	700	700	96.11	500	500
20140813T114202	96.	600	600	96.11	500	500
20140813T114221	96.	700	700	96.11	500	500
20140813T114232	96.	600	600	96.11	500	500
20140813T114233	96.	700	700	96.11	500	500
20140813T114236	96.	600	600	96.11	500	500
20140813T114259	96.	700	700	96.11	500	500
20140813T114305	96.	200	200	96.11	500	500
20140813T114330	96.01	200	200	96.11	500	500
20140813T114347	96.	200	200	96.11	500	500
20140813T114442	96.02	200	200	96.11	500	500
20140813T114443	96.	200	200	96.11	500	500
20140813T114446	96.03	100	100	96.11	500	500
20140813T114447	96.04	100	100	96.11	500	500
20140813T114452	96.02	100	100	96.11	500	500
20140813T114453	96.03	200	200	96.11	500	500
20140813T114501	96.	200	200	96.11	500	500
20140813T114533	96.02	200	200	96.11	500	500
20140813T114536	96.03	600	600	96.11	500	500
20140813T114614	96.04	100	100	96.11	500	500
20140813T114647	96.04	200	200	96.11	500	500
20140813T114703	96.04	100	100	96.11	500	500
20140813T114705	96.03	600	600	96.11	500	500
20140813T114708	96.03	500	500	96.11	500	500
20140813T114709	96.03	600	600	96.11	500	500
20140813T114805	96.03	500	500	96.11	500	500
20140813T114825	96.03	600	600	96.11	500	500
20140813T114849	96.04	100	100	96.11	500	500
20140813T114856	96.03	700	700	96.11	500	500
20140813T115046	96.	200	200	96.11	500	500
20140813T115300	96.01	500	500	96.11	500	500
20140813T115312	96.01	500	500	96.1	200	200
20140813T115342	96.02	100	100	96.1	200	200
20140813T115443	96.03	500	500	96.1	200	200
20140813T115455	96.04	100	100	96.1	200	200
20140813T115519	96.04	600	600	96.1	200	200
20140813T115521	96.04	600	600	96.11	500	500
20140813T115531	96.05	500	500	96.11	500	500
20140813T115549	96.05	600	600	96.11	500	500
20140813T115611	96.05	500	500	96.11	500	500
20140813T115613	96.07	100	100	96.11	500	500
20140813T115619	96.08	100	100	96.11	500	500
20140813T115625	96.07	100	100	96.11	500	500
20140813T115709	96.08	500	500	96.11	500	500
20140813T115755	96.08	700	700	96.11	300	300
20140813T115938	96.09	200	200	96.11	300	300
20140813T120006	96.09	200	200	96.11	200	200
20140813T120038	96.1	300	300	96.11	200	200
20140813T120047	96.11	100	100	96.14	300	300
20140813T120049	96.1	300	300	96.14	300	300
20140813T120147	96.12	300	300	96.14	300	300
20140813T120244	96.08	200	200	96.14	300	300
20140813T120252	96.08	200	200	96.21	900	900
20140813T120259	96.08	200	200	96.21	400	400
20140813T120302	96.08	200	200	96.2	500	500
20140813T120306	96.07	300	300	96.2	500	500
20140813T120321	96.08	500	500	96.2	500	500
20140813T120349	96.1	600	600	96.2	500	500
20140813T120504	96.08	500	500	96.2	500	500
20140813T120529	96.08	500	500	96.19	200	200
20140813T120723	96.1	700	700	96.19	200	200
20140813T120731	96.11	200	200	96.19	200	200
20140813T120825	96.11	200	200	96.19	500	500
20140813T120832	96.11	200	200	96.19	800	800
20140813T121106	96.13	400	400	96.19	800	800
20140813T121110	96.15	300	300	96.19	700	700
20140813T121120	96.17	400	400	96.19	700	700
20140813T121128	96.18	400	400	96.19	700	700
20140813T121133	96.17	400	400	96.19	700	700
20140813T121135	96.15	300	300	96.19	700	700
20140813T121137	96.13	400	400	96.19	700	700
20140813T121144	96.15	100	100	96.19	700	700
20140813T121151	96.14	100	100	96.19	700	700
20140813T121220	96.14	100	100	96.19	1200	1200
20140813T121256	96.15	1000	1000	96.19	1200	1200
20140813T121303	96.15	1000	1000	96.19	700	700
20140813T121354	96.15	1000	1000	96.19	200	200
20140813T121358	96.15	1000	1000	96.19	300	300
20140813T121650	96.15	1000	1000	96.2	500	500
20140813T121709	96.15	1000	1000	96.21	300	300
20140813T121720	96.15	1000	1000	96.21	400	400
20140813T121810	96.16	100	100	96.21	400	400
20140813T121828	96.16	300	300	96.21	400	400
20140813T121903	96.17	100	100	96.21	400	400
20140813T121918	96.18	100	100	96.21	400	400
20140813T122841	96.16	300	300	96.21	400	400
20140813T122848	96.15	1100	1100	96.21	400	400
20140813T122850	96.15	1100	1100	96.2	500	500
20140813T123110	96.15	1100	1100	96.21	400	400
20140813T123120	96.15	1100	1100	96.21	200	200
20140813T123129	96.15	1100	1100	96.21	100	100
20140813T123135	96.16	100	100	96.21	100	100
